Date,HM-B.ST,ERIC-B.ST,SEB-A.ST,SWED-A.ST,VOLV-B.ST,TELIA.ST,SHB-A.ST,ATCO-A.ST,SKA-B.ST,INVE-B.ST,ELUX-B.ST,ASSA-B.ST,SCA-B.ST,ALFA.ST,INDU-C.ST,AZN.ST,ATCO-B.ST,ESSITY-B.ST,GETI-B.ST,KINV-B.ST,HEXA-B.ST,ALIV-SDB.ST,SKF-B.ST,LATO-B.ST,SAND.ST,INVE-A.ST,MTG-B.ST,FING-B.ST,Median_Return,HM-B.ST_Target,ERIC-B.ST_Target,SEB-A.ST_Target,SWED-A.ST_Target,VOLV-B.ST_Target,TELIA.ST_Target,SHB-A.ST_Target,ATCO-A.ST_Target,SKA-B.ST_Target,INVE-B.ST_Target,ELUX-B.ST_Target,ASSA-B.ST_Target,SCA-B.ST_Target,ALFA.ST_Target,INDU-C.ST_Target,AZN.ST_Target,ATCO-B.ST_Target,ESSITY-B.ST_Target,GETI-B.ST_Target,KINV-B.ST_Target,HEXA-B.ST_Target,ALIV-SDB.ST_Target,SKF-B.ST_Target,LATO-B.ST_Target,SAND.ST_Target,INVE-A.ST_Target,MTG-B.ST_Target,FING-B.ST_Target
2002-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-05-02,0.01225490196078427,-0.015503849307511142,0.0,0.011673122704240146,0.015228387078284777,-0.07187497615814209,-0.0032154377888149455,0.0352697659974317,-0.03424657534246578,-0.009433962264150941,-0.002923984541926883,0.007518768526199704,0.0028656554120705113,,0.0037037037037037646,0.006224066390041472,0.04803486335899532,,0.005221921276592489,-0.037467677850587244,-0.005127165001897027,0.052516411378555894,-0.001980198019801982,0.03960403892623132,0.029411725080322526,-0.0046948356807511304,0.01630437731785439,-0.06349202470097315,0.003284679557887138,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0
2002-05-03,-0.016949152542372836,-0.07480318530097574,-0.015228477226061354,-0.015384601194469716,-0.0100000381469727,-0.04040406505432992,0.003225810180769839,-0.004008029321080131,-0.007092198581560294,-0.014285714285714235,-0.014662796499941622,-0.03358209146426139,0.0,,-0.0036900369003689537,-0.02164948453608251,-0.01249990125655176,,-0.007792250696115888,0.006711311557064947,-0.015465144915864815,-0.022869022869022815,0.005952380952380931,0.009523773193359286,-0.0061223708536963795,-0.009433962264150941,-0.03208561860352044,-0.05084753693464239,-0.013392807771132997,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0
2002-05-06,0.0024630541871921707,-0.017021247520574212,-0.005154605677367585,-0.007812528711140243,-0.007575738601520388,-0.01754385964912286,0.006430875577629891,-0.00804831653080107,0.0,-0.009661835748792313,0.011904794783233363,0.015444045811011442,-0.012857118239304688,,0.0037037037037037646,-0.021074815595363505,-0.002109730772729246,,-0.005235532054248759,-0.06799991473410039,0.0026179278310540788,0.017021276595744705,-0.021696252465483234,0.007075471952743273,-0.010266973237492816,-0.00952380952380949,-0.02762429208405648,0.07142862560233776,-0.0064056353278845735,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
2002-05-07,-0.0073710073710073765,0.021644984031496728,0.0673575340572925,0.01968503965601065,-0.010178059006281992,0.03214284351893837,0.006389783673855343,0.0020284653906363914,0.014285714285714235,-0.004878048780487809,0.005882368995881571,0.011406844437366281,0.0,,-0.011070110701106972,0.005382131324004336,0.006342444144088688,,-0.013157926980695511,-0.012875541865101647,-0.002611092180166197,-0.004184100418409997,0.014112903225806495,-0.01639340747389806,0.04149374349926971,-0.009615384615384581,0.005681828528460775,-0.016666634222601617,0.0037052983573203635,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
2002-05-08,0.017326732673267342,0.05932202251832108,0.04368932213593135,0.019305019580017957,0.023136187040581513,0.041522518296852384,0.009523820358940727,0.010121429878039212,0.007042253521126751,0.014705882352941124,0.032163739516562595,0.018796964338402056,0.005788637631755078,,0.026119402985074647,0.020342612419700146,0.002100866518304656,,0.0,0.05797095215046211,0.0026179278310540788,0.02941176470588225,0.001988071570576455,0.019047546386718794,-0.02191231019889084,0.024271844660194164,0.039548024566189666,0.03389823797837943,0.019176282983368376,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
2002-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4218319427671275e-07,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-05-10,-0.012165450121654486,-0.06399997633740162,-0.01395353489780704,-0.011363608572157458,0.0175879592049748,-0.056478429946665853,-0.01257863052774666,0.0180360716610517,0.020979020979021046,-0.019323671497584516,0.0,-0.0221402226488302,0.0028779443227160417,,-0.021818181818181848,-0.022035676810073457,0.020964300781511236,,-0.013333366442756067,-0.04109584863787752,-0.05221901992878897,-0.022448979591836782,0.021825396825396748,-0.023364451995881885,0.0020366337755495234,-0.023696682464455,-0.0217391697571393,0.0,-0.013643450670281554,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
2002-05-13,0.022167487684729092,-0.01709398776981008,0.0,0.019157087851805032,-0.009876580885898933,0.01760563403929627,0.0031847170105476774,0.0019684512489439587,0.013698630136986356,-0.0049261083743842304,0.00283286888502432,0.037735880019616364,-0.0014346817715965576,,0.0037174721189590088,-0.006437768240343367,0.008213529411543075,,0.02162163920744531,0.014285699142262409,0.008265072201541823,0.0041753653444676075,0.01747572815533971,0.0,0.006097564452815618,-0.004854368932038833,0.027777829139574273,-0.0655738190021462,0.003946418731713308,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0
2002-05-14,0.01686746987951815,0.02608691099216731,0.023584892129868917,-0.0075188246283289795,0.007481373146470904,0.017301038290651327,0.012698427145254376,0.007858572641798789,-0.013513513513513487,0.0,0.0028248664088703634,-0.003636391480501766,0.001436743040647448,,0.025925925925925908,0.0,0.0,,0.002645497241001493,0.056337969289494305,0.002732369898215792,-0.012474012474012475,-0.01717557251908397,-0.009569341835472533,-0.006060609495791569,0.0,-0.010810830260010174,0.05964927248602092,0.0020411201408244706,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
